file,qualified_name,kind,lineno,end_lineno,length,cyclomatic_complexity,max_nesting,arg_count,has_docstring
_release_staging/CapsuleWardrobeRAG/tests/test_web_dashboard_legacy_api_auth.py,test_inventory_with_api_key_ok,function,77,83,7,5,0,1,False
_release_staging/CapsuleWardrobeRAG/tests/test_web_dashboard_legacy_api_auth.py,test_item_detail_requires_api_key,function,86,94,9,5,1,1,False
_release_staging/CapsuleWardrobeRAG/tests/test_web_dashboard_v1_inventory_fields.py,flask_client,function,14,47,34,1,0,2,False
_release_staging/CapsuleWardrobeRAG/tests/test_web_dashboard_v1_inventory_fields.py,test_v1_inventory_includes_meta_fields,function,50,67,18,13,0,1,False
_release_staging/CapsuleWardrobeRAG/tools/handoff_make.py,now_stamp,function,32,33,2,1,0,0,False
_release_staging/CapsuleWardrobeRAG/tools/handoff_make.py,run,function,36,42,7,4,1,2,False
_release_staging/CapsuleWardrobeRAG/tools/handoff_make.py,write_text,function,45,47,3,1,0,2,False
_release_staging/CapsuleWardrobeRAG/tools/handoff_make.py,main,function,50,200,151,20,2,0,False
_release_staging/CapsuleWardrobeRAG/tools/handoff_make_run.py,_truncate,function,23,26,4,3,1,2,False
_release_staging/CapsuleWardrobeRAG/tools/handoff_make_run.py,_default_script_path,function,29,30,2,1,0,0,False
_release_staging/CapsuleWardrobeRAG/tools/handoff_make_run.py,parse_args,function,33,50,18,1,0,1,False
_release_staging/CapsuleWardrobeRAG/tools/handoff_make_run.py,main,function,53,127,75,11,2,1,False
_release_staging/CapsuleWardrobeRAG/tools/ingest_recover.py,_folder_signature_fingerprint,function,27,45,19,5,2,1,False
_release_staging/CapsuleWardrobeRAG/tools/ingest_recover.py,_connect,function,48,51,4,1,0,0,False
_release_staging/CapsuleWardrobeRAG/tools/ingest_recover.py,parse_args,function,54,61,8,1,0,1,False
_release_staging/CapsuleWardrobeRAG/tools/ingest_recover.py,main,function,64,180,117,25,6,1,False
_release_staging/CapsuleWardrobeRAG/tools/ontology_runtime_dump.py,utc_now_iso,function,30,31,2,1,0,0,False
_release_staging/CapsuleWardrobeRAG/tools/ontology_runtime_dump.py,sha256_bytes,function,34,37,4,1,0,1,False
_release_staging/CapsuleWardrobeRAG/tools/ontology_runtime_dump.py,sha256_file,function,40,41,2,1,0,1,False
_release_staging/CapsuleWardrobeRAG/tools/ontology_runtime_dump.py,read_text_robust,function,44,51,8,3,2,1,False
_release_staging/CapsuleWardrobeRAG/tools/ontology_runtime_dump.py,load_yaml,function,54,58,5,2,1,1,False
_release_staging/CapsuleWardrobeRAG/tools/ontology_runtime_dump.py,list_ontology_parts,function,61,66,6,2,0,1,False
_release_staging/CapsuleWardrobeRAG/tools/ontology_runtime_dump.py,build_parts_index,function,69,89,21,5,3,3,False
_release_staging/CapsuleWardrobeRAG/tools/ontology_runtime_dump.py,summarize_overrides,function,92,106,15,3,1,1,False
_release_staging/CapsuleWardrobeRAG/tools/ontology_runtime_dump.py,summarize_color_lexicon,function,109,129,21,4,1,1,False
_release_staging/CapsuleWardrobeRAG/tools/ontology_runtime_dump.py,main,function,132,259,128,16,2,0,False
_release_staging/CapsuleWardrobeRAG/tools/project_audit_dump.py,utc_now_iso,function,107,108,2,1,0,0,False
_release_staging/CapsuleWardrobeRAG/tools/project_audit_dump.py,sha256_file,function,111,116,6,2,1,1,False
_release_staging/CapsuleWardrobeRAG/tools/project_audit_dump.py,is_probably_binary,function,119,128,10,3,1,1,False
_release_staging/CapsuleWardrobeRAG/tools/project_audit_dump.py,safe_read_text,function,131,150,20,4,2,2,True
